File Name,Number of Speakers,Speaker Durations
5348024557507509_f1214_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557507509_f1214_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507510_f1215_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0047}"
5348024557507513_f1218_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0009}"
5348024557507513_f1218_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557507513_f1218_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507513_f1218_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557507513_f1218_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507514_f1219_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557507519_f1130_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0001}"
5348024557507524_f406_chunk_0_subchunk_1.wav,2,"{""SPEAKER_00"": 0.002, ""SPEAKER_01"": 0.0}"
5348024557507524_f406_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557507524_f406_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557507524_f406_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507524_f406_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557507524_f406_chunk_5_subchunk_1.wav,2,"{""SPEAKER_00"": 0.0003, ""SPEAKER_01"": 0.0}"
5348024557507529_f408_chunk_0_subchunk_1.wav,2,"{""SPEAKER_00"": 0.0012, ""SPEAKER_01"": 0.0001}"
5348024557507529_f408_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557507537_f407_chunk_0_subchunk_1.wav,2,"{""SPEAKER_00"": 0.0012, ""SPEAKER_01"": 0.0}"
5348024557507537_f407_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0008}"
5348024557507537_f407_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507537_f407_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557507537_f407_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557507537_f407_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507545_f4_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507545_f4_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557507545_f4_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557507545_f4_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507545_f4_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507545_f4_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557507550_f193_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507550_f193_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557507550_f193_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557507550_f193_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0009}"
5348024557507550_f193_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557507550_f193_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0006}"
5348024557507550_f193_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557507550_f193_chunk_7_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507550_f193_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507550_f193_chunk_9_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507552_f1502_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507553_f1503_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557507556_f1200_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557507558_f1504_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507560_f1511_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557507562_f1113_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557507566_f1505_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507567_f849_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557507568_f1677_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557507568_f1677_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557507569_f1506_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507574_f1508_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507577_f1507_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507585_f90_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507585_f90_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507585_f90_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507585_f90_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507592_f454_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507592_f454_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557507592_f454_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557507592_f454_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557507592_f454_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557507592_f454_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.004}"
5348024557507592_f454_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0045}"
5348024557507610_f1686_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0033}"
5348024557507612_f1073_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.004}"
5348024557507614_f1968_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507615_f1969_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557507619_f2220_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557507620_f1591_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507624_f939_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507625_f1977_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507628_f1971_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0045}"
5348024557507629_f1972_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557507632_f1973_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507634_f1974_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507645_f674_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557507646_f146_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507651_f676_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507651_f676_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557507651_f676_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.005}"
5348024557507651_f676_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0033}"
5348024557507651_f676_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507651_f676_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557507653_f675_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557507653_f675_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.005}"
5348024557507653_f675_chunk_2_subchunk_1.wav,2,"{""SPEAKER_00"": 0.0017, ""SPEAKER_01"": 0.0002}"
5348024557507655_f378_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507655_f378_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0033}"
5348024557507655_f378_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0047}"
5348024557507655_f378_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557507655_f378_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0034}"
5348024557507655_f378_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557507658_f147_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507658_f147_chunk_10_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0041}"
5348024557507658_f147_chunk_11_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557507658_f147_chunk_12_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0065}"
5348024557507658_f147_chunk_13_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557507658_f147_chunk_14_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557507658_f147_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557507658_f147_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557507658_f147_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557507658_f147_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557507658_f147_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557507658_f147_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507658_f147_chunk_7_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557507658_f147_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557507658_f147_chunk_9_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557507662_f755_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557507662_f755_chunk_10_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557507662_f755_chunk_11_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557507662_f755_chunk_12_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557507662_f755_chunk_13_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557507662_f755_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557507662_f755_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557507662_f755_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.003}"
