Filename,Status
5348024557506909_f192_chunk_7_subchunk_1.wav,valid
5348024557506963_f94_chunk_13_subchunk_1.wav,valid
5348024557506847_f728_chunk_3_subchunk_1.wav,valid
5348024557506490_f106_chunk_2_subchunk_1.wav,valid
5348024557506905_f16_chunk_1_subchunk_1.wav,valid
5348024557506535_f1743_chunk_0_subchunk_1.wav,valid
5348024557506159_f698_chunk_14_subchunk_1.wav,valid
5348024557507354_f50_chunk_4_subchunk_1.wav,valid
5348024557506329_f655_chunk_3_subchunk_1.wav,valid
5348024557506366_f375_chunk_1_subchunk_1.wav,valid
5348024557506901_f602_chunk_3_subchunk_1.wav,valid
5348024557507011_f710_chunk_12_subchunk_1.wav,valid
5348024557506490_f106_chunk_32_subchunk_1.wav,valid
5348024557507011_f710_chunk_5_subchunk_1.wav,valid
5348024557506931_f1749_chunk_0_subchunk_1.wav,valid
5348024557506844_f730_chunk_3_subchunk_1.wav,valid
5348024557506379_f471_chunk_10_subchunk_1.wav,valid
5348024557506161_f880_chunk_0_subchunk_1.wav,valid
5348024557506210_f549_chunk_8_subchunk_1.wav,valid
5348024557506868_f1032_chunk_0_subchunk_1.wav,valid
5348024557507106_f1704_chunk_0_subchunk_1.wav,valid
5348024557506210_f549_chunk_0_subchunk_1.wav,valid
5348024557506490_f106_chunk_0_subchunk_1.wav,valid
5348024557506846_f181_chunk_0_subchunk_1.wav,valid
5348024557506845_f748_chunk_8_subchunk_1.wav,valid
5348024557506375_f472_chunk_1_subchunk_1.wav,valid
5348024557507069_f308_chunk_2_subchunk_1.wav,valid
5348024557507248_f713_chunk_0_subchunk_1.wav,valid
5348024557506561_f537_chunk_8_subchunk_1.wav,valid
5348024557506565_f538_chunk_9_subchunk_1.wav,valid
5348024557506333_f148_chunk_27_subchunk_1.wav,valid
5348024557506278_f1976_chunk_0_subchunk_1.wav,valid
5348024557507169_f1937_chunk_0_subchunk_1.wav,valid
5348024557507176_f134_chunk_0_subchunk_1.wav,valid
5348024557507066_f455_chunk_4_subchunk_1.wav,valid
5348024557506748_f1492_chunk_0_subchunk_1.wav,valid
5348024557506873_f995_chunk_0_subchunk_1.wav,valid
5348024557506900_f196_chunk_0_subchunk_1.wav,valid
5348024557506296_f1078_chunk_0_subchunk_1.wav,valid
5348024557506965_f641_chunk_2_subchunk_1.wav,valid
5348024557507085_f105_chunk_3_subchunk_1.wav,valid
5348024557506899_f603_chunk_3_subchunk_1.wav,valid
5348024557506438_f342_chunk_0_subchunk_1.wav,valid
5348024557506433_f126_chunk_15_subchunk_1.wav,valid
5348024557507004_f385_chunk_0_subchunk_1.wav,valid
5348024557506565_f538_chunk_13_subchunk_1.wav,valid
5348024557506159_f698_chunk_1_subchunk_1.wav,valid
5348024557506489_f107_chunk_1_subchunk_1.wav,valid
5348024557507122_f92_chunk_0_subchunk_1.wav,valid
5348024557506561_f537_chunk_16_subchunk_1.wav,valid
5348024557506617_f666_chunk_14_subchunk_1.wav,valid
5348024557506481_f311_chunk_5_subchunk_1.wav,valid
5348024557506333_f148_chunk_3_subchunk_1.wav,valid
5348024557506617_f666_chunk_18_subchunk_1.wav,valid
5348024557506325_f707_chunk_2_subchunk_1.wav,valid
5348024557506894_f420_chunk_0_subchunk_1.wav,valid
5348024557507248_f713_chunk_1_subchunk_1.wav,valid
5348024557506180_f1760_chunk_0_subchunk_1.wav,valid
5348024557506849_f183_chunk_0_subchunk_1.wav,valid
5348024557507045_f1810_chunk_0_subchunk_1.wav,valid
5348024557507085_f105_chunk_18_subchunk_1.wav,valid
5348024557507088_f865_chunk_0_subchunk_1.wav,valid
5348024557507222_f902_chunk_0_subchunk_1.wav,valid
5348024557506159_f698_chunk_2_subchunk_1.wav,valid
5348024557507085_f105_chunk_14_subchunk_1.wav,valid
5348024557506333_f148_chunk_10_subchunk_1.wav,valid
5348024557506825_f2122_chunk_0_subchunk_1.wav,valid
5348024557506965_f641_chunk_3_subchunk_1.wav,valid
5348024557506610_f659_chunk_1_subchunk_1.wav,valid
5348024557506572_f2037_chunk_0_subchunk_1.wav,valid
5348024557506899_f603_chunk_5_subchunk_1.wav,valid
5348024557506873_f995_chunk_1_subchunk_1.wav,valid
5348024557507302_f153_chunk_0_subchunk_1.wav,valid
5348024557506808_f988_chunk_0_subchunk_1.wav,valid
5348024557507125_f511_chunk_3_subchunk_1.wav,valid
5348024557506433_f126_chunk_3_subchunk_1.wav,valid
5348024557506553_f536_chunk_1_subchunk_1.wav,valid
5348024557506909_f192_chunk_8_subchunk_1.wav,valid
5348024557506421_f1903_chunk_0_subchunk_1.wav,valid
5348024557506432_f127_chunk_1_subchunk_1.wav,valid
5348024557506617_f666_chunk_2_subchunk_1.wav,valid
5348024557507080_f563_chunk_3_subchunk_1.wav,valid
5348024557506433_f126_chunk_18_subchunk_1.wav,valid
5348024557506617_f666_chunk_13_subchunk_1.wav,valid
5348024557506658_f177_chunk_0_subchunk_1.wav,valid
5348024557506962_f296_chunk_9_subchunk_1.wav,valid
5348024557506955_f293_chunk_3_subchunk_1.wav,valid
5348024557506552_f535_chunk_0_subchunk_1.wav,valid
5348024557506158_f697_chunk_5_subchunk_1.wav,valid
5348024557506955_f293_chunk_8_subchunk_1.wav,valid
5348024557507086_f569_chunk_6_subchunk_1.wav,valid
5348024557506778_f87_chunk_0_subchunk_1.wav,valid
5348024557506563_f292_chunk_12_subchunk_1.wav,valid
5348024557507015_f379_chunk_2_subchunk_1.wav,valid
5348024557506324_f709_chunk_1_subchunk_1.wav,valid
5348024557506432_f127_chunk_7_subchunk_1.wav,valid
5348024557506619_f660_chunk_2_subchunk_1.wav,valid
5348024557506465_f1615_chunk_0_subchunk_1.wav,valid
5348024557506171_f1762_chunk_0_subchunk_1.wav,valid
5348024557506628_f2096_chunk_0_subchunk_1.wav,valid
5348024557506786_f86_chunk_0_subchunk_1.wav,valid
5348024557506210_f549_chunk_6_subchunk_1.wav,valid
5348024557507246_f386_chunk_1_subchunk_1.wav,valid
5348024557506692_f1849_chunk_0_subchunk_1.wav,valid
5348024557507080_f563_chunk_7_subchunk_1.wav,valid
5348024557507063_f104_chunk_0_subchunk_1.wav,valid
5348024557506645_f981_chunk_0_subchunk_1.wav,valid
5348024557506909_f192_chunk_1_subchunk_1.wav,valid
5348024557506454_f1563_chunk_0_subchunk_1.wav,valid
5348024557506329_f655_chunk_11_subchunk_1.wav,valid
5348024557506581_f966_chunk_0_subchunk_1.wav,valid
5348024557506908_f606_chunk_2_subchunk_1.wav,valid
5348024557506482_f309_chunk_4_subchunk_1.wav,valid
5348024557506978_f2228_chunk_0_subchunk_1.wav,valid
5348024557506901_f602_chunk_1_subchunk_1.wav,valid
5348024557506232_f834_chunk_0_subchunk_1.wav,valid
5348024557506324_f709_chunk_3_subchunk_1.wav,valid
5348024557506482_f309_chunk_2_subchunk_1.wav,valid
5348024557507199_f372_chunk_1_subchunk_1.wav,valid
5348024557506565_f538_chunk_3_subchunk_1.wav,valid
5348024557506811_f2117_chunk_0_subchunk_1.wav,valid
5348024557506158_f697_chunk_10_subchunk_1.wav,valid
5348024557506847_f728_chunk_0_subchunk_1.wav,valid
5348024557506617_f666_chunk_10_subchunk_1.wav,valid
5348024557506921_f1750_chunk_0_subchunk_1.wav,valid
5348024557506329_f655_chunk_4_subchunk_1.wav,valid
5348024557506549_f291_chunk_2_subchunk_1.wav,valid
5348024557506379_f471_chunk_12_subchunk_1.wav,valid
5348024557507146_f1578_chunk_0_subchunk_1.wav,valid
5348024557506375_f472_chunk_3_subchunk_1.wav,valid
5348024557506561_f537_chunk_24_subchunk_1.wav,valid
5348024557506561_f537_chunk_3_subchunk_1.wav,valid
5348024557506792_f452_chunk_1_subchunk_1.wav,valid
5348024557506899_f603_chunk_0_subchunk_1.wav,valid
5348024557506426_f463_chunk_0_subchunk_1.wav,valid
5348024557506324_f709_chunk_0_subchunk_1.wav,valid
5348024557506477_f1817_chunk_0_subchunk_1.wav,valid
5348024557506210_f549_chunk_9_subchunk_1.wav,valid
5348024557506432_f127_chunk_14_subchunk_1.wav,valid
5348024557506561_f537_chunk_1_subchunk_1.wav,valid
5348024557506561_f537_chunk_19_subchunk_1.wav,valid
5348024557506383_f141_chunk_8_subchunk_1.wav,valid
5348024557506210_f549_chunk_4_subchunk_1.wav,valid
5348024557506151_f743_chunk_5_subchunk_1.wav,valid
5348024557506638_f1604_chunk_0_subchunk_1.wav,valid
5348024557507011_f710_chunk_0_subchunk_1.wav,valid
5348024557506908_f606_chunk_3_subchunk_1.wav,valid
5348024557506528_f1741_chunk_0_subchunk_1.wav,valid
5348024557507206_f1842_chunk_0_subchunk_1.wav,valid
5348024557507337_f1048_chunk_0_subchunk_1.wav,valid
5348024557506917_f2170_chunk_0_subchunk_1.wav,valid
5348024557506905_f16_chunk_0_subchunk_1.wav,valid
5348024557506333_f148_chunk_8_subchunk_1.wav,valid
5348024557506568_f2242_chunk_0_subchunk_1.wav,valid
5348024557507302_f153_chunk_2_subchunk_1.wav,valid
5348024557506333_f148_chunk_25_subchunk_1.wav,valid
5348024557507030_f2183_chunk_0_subchunk_1.wav,valid
5348024557506333_f148_chunk_30_subchunk_1.wav,valid
5348024557506561_f537_chunk_14_subchunk_1.wav,valid
5348024557506158_f697_chunk_3_subchunk_1.wav,valid
5348024557506379_f471_chunk_7_subchunk_1.wav,valid
5348024557507012_f680_chunk_3_subchunk_1.wav,valid
5348024557506333_f148_chunk_29_subchunk_1.wav,valid
5348024557507316_f380_chunk_0_subchunk_1.wav,valid
5348024557506375_f472_chunk_0_subchunk_1.wav,valid
5348024557507040_f1808_chunk_0_subchunk_1.wav,valid
5348024557506333_f148_chunk_15_subchunk_1.wav,valid
5348024557506158_f697_chunk_11_subchunk_1.wav,valid
5348024557506836_f182_chunk_0_subchunk_1.wav,valid
