File Name,Number of Speakers,Speaker Durations
5348024557509120_f601_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509120_f601_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509120_f601_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557509120_f601_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509120_f601_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0038}"
5348024557509120_f601_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509120_f601_chunk_7_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509120_f601_chunk_8_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0047}"
5348024557509121_f19_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0048}"
5348024557509121_f19_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0035}"
5348024557509121_f19_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509126_f1029_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509129_f1168_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0033}"
5348024557509131_f1355_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557509132_f1354_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557509134_f803_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509137_f1353_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0031}"
5348024557509138_f1051_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509141_f1356_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509142_f1031_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0021}"
5348024557509149_f1169_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509154_f804_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509156_f46_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0048}"
5348024557509156_f46_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509156_f46_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0037}"
5348024557509156_f46_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509156_f46_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509162_f218_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509162_f218_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509164_f217_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509164_f217_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509164_f217_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509164_f217_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509164_f217_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509166_f47_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509166_f47_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557509166_f47_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509166_f47_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0036}"
5348024557509166_f47_chunk_4_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0042}"
5348024557509166_f47_chunk_5_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0036}"
5348024557509166_f47_chunk_6_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557509169_f752_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509169_f752_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509169_f752_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0024}"
5348024557509169_f752_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509180_f751_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509180_f751_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509180_f751_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.005}"
5348024557509181_f668_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509181_f668_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0044}"
5348024557509186_f1365_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509187_f1366_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557509189_f1367_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0008}"
5348024557509191_f1368_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509193_f1171_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0022}"
5348024557509194_f1372_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509197_f1370_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0029}"
5348024557509198_f1533_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509201_f1542_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557509202_f1371_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509202_f1371_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0039}"
5348024557509202_f1371_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509202_f1371_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0064}"
5348024557509212_f1373_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509213_f808_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509243_f1163_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509243_f1163_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0044}"
5348024557509243_f1163_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.006}"
5348024557509244_f1317_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557509248_f1319_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0008}"
5348024557509249_f1318_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509252_f1320_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509253_f1321_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509255_f1157_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509257_f1327_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557509260_f1656_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557509261_f789_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509261_f789_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0032}"
5348024557509261_f789_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0009}"
5348024557509261_f789_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0059}"
5348024557509262_f1323_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509268_f790_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509277_f34_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509277_f34_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509277_f34_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509302_f763_chunk_0_subchunk_1.wav,2,"{""SPEAKER_00"": 0.0, ""SPEAKER_01"": 0.002}"
5348024557509303_f1133_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509303_f1133_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557509303_f1133_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557509303_f1133_chunk_3_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509305_f1223_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557509307_f1222_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509309_f1221_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509311_f1220_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0006}"
5348024557509311_f1220_chunk_0_subchunk_2.wav,1,"{""SPEAKER_00"": 0.0017}"
5348024557509312_f1224_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0006}"
5348024557509312_f1224_chunk_0_subchunk_2.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509315_f1065_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509316_f1225_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509324_f1043_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509328_f764_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509358_f2146_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.002}"
5348024557509359_f2127_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509362_f1608_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.001}"
5348024557509364_f2086_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509366_f976_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557509369_f2087_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509370_f978_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509371_f1121_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0028}"
5348024557509374_f2128_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0019}"
5348024557509375_f1634_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509378_f2094_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509385_f979_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509389_f690_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0026}"
5348024557509389_f690_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0042}"
5348024557509389_f690_chunk_2_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0012}"
5348024557509391_f739_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557509403_f686_chunk_0_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0003}"
5348024557509403_f686_chunk_10_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0011}"
5348024557509403_f686_chunk_11_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0018}"
5348024557509403_f686_chunk_12_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0048}"
5348024557509403_f686_chunk_13_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509403_f686_chunk_14_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0001}"
5348024557509403_f686_chunk_15_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0014}"
5348024557509403_f686_chunk_16_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0025}"
5348024557509403_f686_chunk_17_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0016}"
5348024557509403_f686_chunk_18_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0007}"
5348024557509403_f686_chunk_19_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557509403_f686_chunk_1_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0002}"
5348024557509403_f686_chunk_20_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0015}"
5348024557509403_f686_chunk_21_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0005}"
5348024557509403_f686_chunk_22_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0004}"
5348024557509403_f686_chunk_23_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0036}"
5348024557509403_f686_chunk_24_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509403_f686_chunk_25_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0029}"
5348024557509403_f686_chunk_26_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0013}"
5348024557509403_f686_chunk_27_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0023}"
5348024557509403_f686_chunk_28_subchunk_1.wav,1,"{""SPEAKER_00"": 0.0008}"
