Filename,Audio_length
5348024557503524_f581_chunk_2_subchunk_1_QC1_4_silence_insertion.wav,30.927
5348024557503570_f1929_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,40.435
5348024557503555_f1924_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,32.706
5348024557502806_f1539_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,7.26
5348024557503725_f1690_chunk_2_subchunk_1_QC1_5_upsampling_simulation.wav,3.129
5348024557502778_f403_chunk_14_subchunk_1_QC1_1_format_conversion.mp3,8.148
5348024557502778_f403_chunk_31_subchunk_1_QC1_1_format_conversion.mp3,7.146
5348024557503661_f632_chunk_12_subchunk_1_QC1_5_upsampling_simulation.wav,4.671
5348024557503208_f952_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,2.821
5348024557503728_f1164_chunk_0_subchunk_1_QC1_5_upsampling_simulation.wav,6.331
5348024557503365_f365_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,7.359
5348024557502897_f251_chunk_3_subchunk_1_QC1_1_format_conversion.mp3,4.767
5348024557503306_f721_chunk_1_subchunk_1_QC1_3_sample_rate_reduction.wav,10.239
5348024557502825_f1553_chunk_0_subchunk_1_QC1_1_format_conversion.mp3,0.854
5348024557503604_f750_chunk_6_subchunk_1_QC1_5_upsampling_simulation.wav,5.823
5348024557503015_f306_chunk_10_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503013_f103_chunk_4_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503596_f133_chunk_4_subchunk_1_QC1_5_upsampling_simulation.wav,10.431
5348024557503487_f35_chunk_3_subchunk_1_QC1_4_silence_insertion.wav,41.132
5348024557503367_f364_chunk_17_subchunk_1_QC1_3_sample_rate_reduction.wav,15.807
5348024557503409_f30_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,33.423
5348024557503574_f1931_chunk_0_subchunk_1_QC1_4_silence_insertion.wav,30.387
5348024557503327_f898_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,8.698
5348024557503549_f580_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,34.473
5348024557503716_f15_chunk_5_subchunk_1_QC1_5_upsampling_simulation.wav,10.814
5348024557503010_f300_chunk_3_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503664_f502_chunk_5_subchunk_1_QC1_5_upsampling_simulation.wav,7.831
5348024557503322_f1834_chunk_0_subchunk_1_QC1_3_sample_rate_reduction.wav,11.177
5348024557502897_f251_chunk_15_subchunk_1_QC1_1_format_conversion.mp3,7.818
5348024557503015_f306_chunk_13_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557503416_f607_chunk_5_subchunk_1_QC1_4_silence_insertion.wav,37.935
5348024557503661_f632_chunk_7_subchunk_1_QC1_5_upsampling_simulation.wav,6.302
5348024557502934_f1336_chunk_0_subchunk_1_QC1_2_corrupt_simulation.wav,0.0
5348024557502907_f252_chunk_4_subchunk_1_QC1_1_format_conversion.mp3,7.855
